20110905093544 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2011-09-05T09:36:04Z          60          50           10         0.5(0.5)     15(15)             0             0        15671         32192            1          48          25
2011-09-05T09:36:24Z         170         150           20         0.5(0.5)      7(11)             0             0        15900         31552            1         148          75
2011-09-05T09:36:44Z         227         198           29       0.45(0.48)    101(41)             0             0        18400         31552            1         196          99
2011-09-05T09:37:04Z         227         188           39        0.5(0.49)    171(73)             0             0        19244         31552            1         186          94
2011-09-05T09:37:24Z         227         178           49        0.5(0.49)     43(67)             0             0        15350         30528            1         176          89
2011-09-05T09:37:44Z         227         169           58       0.45(0.48)      0(56)             0             1        16217         30528            1         167          84
2011-09-05T09:38:04Z         227         159           68        0.5(0.49)      0(48)             0             0        17045         30528            1         157          79
2011-09-05T09:38:24Z         227         149           78        0.5(0.49)     36(47)             0             0        17968         30528            1         147          74
2011-09-05T09:38:44Z         227         140           87       0.45(0.48)    320(77)             0             1        19025         30528            1         138          70
2011-09-05T09:39:04Z         762         665           97        0.5(0.48)    138(83)             0             0        17003         33344            1         663         332
2011-09-05T09:39:24Z         762         655          107        0.5(0.49)      0(76)             0             0        17886         33344            1         653         327
2011-09-05T09:39:44Z         762         645          117        0.5(0.49)      0(69)             0             0        18884         33344            1         643         322
2011-09-05T09:40:04Z         762         635          127        0.5(0.49)      0(64)             0             0        19790         33344            1         633         317
2011-09-05T09:40:24Z         762         625          137        0.5(0.49)      0(59)             0             0        20672         33344            1         623         312
2011-09-05T09:40:44Z         762         615          147        0.5(0.49)      0(55)             0             0        15378         28096            1         613         307
2011-09-05T09:41:04Z         762         605          157        0.5(0.49)      0(52)             0             0        16271         28096            1         603         302
2011-09-05T09:41:24Z         762         595          167        0.5(0.49)      0(49)             0             0        17187         28096            1         593         297
2011-09-05T09:41:44Z         762         585          177        0.5(0.49)      0(46)             0             0        18185         28096            1         583         292
2011-09-05T09:42:04Z         762         575          187        0.5(0.49)      0(44)             0             0        19091         28096            1         573         287
2011-09-05T09:42:24Z         762         565          197        0.5(0.49)      0(41)             0             0        20039         28096            1         563         282
2011-09-05T09:42:44Z         762         555          207        0.5(0.49)      0(39)             0             0        14478         33024            1         553         277
2011-09-05T09:43:04Z         762         546          216       0.45(0.49)      0(38)             0             0        15471         33024            1         544         273
2011-09-05T09:43:24Z         762         536          226        0.5(0.49)      0(36)             0             0        16448         33024            1         534         268
2011-09-05T09:43:44Z         762         526          236        0.5(0.49)      0(34)             0             0        17379         33024            1         524         263
2011-09-05T09:44:04Z         762         516          246        0.5(0.49)      0(33)             0             0        18343         33024            1         514         258
2011-09-05T09:44:24Z         762         506          256        0.5(0.49)      0(32)             0             0        19270         33024            1         504         253
2011-09-05T09:44:44Z         762         496          266        0.5(0.49)      0(31)             0             0        20235         33024            1         494         248
2011-09-05T09:45:04Z         762         486          276        0.5(0.49)      0(30)             0             0        14997         27712            1         484         243
2011-09-05T09:45:24Z         762         476          286        0.5(0.49)      0(29)             0             0        15895         27712            1         474         238
2011-09-05T09:45:44Z         762         466          296        0.5(0.49)      0(28)             0             0        16850         27712            1         464         233
2011-09-05T09:46:04Z         762         456          306        0.5(0.49)      0(27)             0             0        17771         27712            1         454         228
2011-09-05T09:46:24Z         762         446          316        0.5(0.49)      0(26)             0             0        18751         27712            1         444         223
2011-09-05T09:46:44Z         762         436          326        0.5(0.49)      0(25)             0             0        19730         27712            1         434         218
2011-09-05T09:47:04Z         762         426          336        0.5(0.49)      0(24)             0             0        20632         27712            1         424         213
2011-09-05T09:47:24Z         762         416          346        0.5(0.49)      0(24)             0             0        15474         32448            1         414         208
2011-09-05T09:47:44Z         822         466          356        0.5(0.49)      7(23)             0             0        17888         32448            1         464         233
2011-09-05T09:48:04Z         822         457          365       0.45(0.49)     26(23)             0             0        18705         32448            1         455         228
2011-09-05T09:48:24Z         822         447          375        0.5(0.49)     29(23)             0             0        19703         32448            1         445         223
2011-09-05T09:48:44Z         882         497          385        0.5(0.49)     25(23)             0             0        16233         27456            1         495         248
2011-09-05T09:49:04Z         882         487          395        0.5(0.49)      0(23)             0             0        17150         27456            1         485         243
2011-09-05T09:49:24Z         882         477          405        0.5(0.49)      0(22)             0             0        18148         27456            1         475         238
2011-09-05T09:49:44Z         882         467          415        0.5(0.49)      0(22)             0             0        19052         27456            1         465         233
2011-09-05T09:50:04Z        1064         639          425        0.5(0.49)      1(21)             0             0        17793         31936            1         637         319
2011-09-05T09:50:24Z        1064         629          435        0.5(0.49)      0(21)             0             0        18774         31936            1         627         314
2011-09-05T09:50:44Z        1064         619          445        0.5(0.49)      0(20)             0             0        20264         31936            1         617         309
2011-09-05T09:51:04Z        1064         609          455        0.5(0.49)      0(20)             0             0        15519         27392            1         607         304
2011-09-05T09:51:24Z        1064         599          465        0.5(0.49)      0(19)             0             0        16603         27392            1         597         299
2011-09-05T09:51:44Z        1064         589          475        0.5(0.49)      0(19)             0             0        17478         27392            1         587         294
2011-09-05T09:52:04Z        1064         584          480       0.25(0.49)      0(19)             0             0        18021         27392            1         582         292
2011-09-05T09:52:25Z        1064         577          487       0.35(0.49)      0(18)             0             0        18663         27392            1         575         288
2011-09-05T09:52:45Z        1064         567          497        0.5(0.49)      0(18)             0             0        19642         27392            1         565         283
2011-09-05T09:53:05Z        1064         557          507        0.5(0.49)      0(17)             0             0        14787         31424            1         555         278
2011-09-05T09:53:25Z        1096         579          517        0.5(0.49)      0(17)             0             0        16623         31424            1         577         289
2011-09-05T09:53:45Z        1132         605          527        0.5(0.49)      0(17)             0             0        18562         31424            1         603         302
2011-09-05T09:54:05Z        1132         595          537        0.5(0.49)      0(17)             0             0        19448         31424            1         593         297
2011-09-05T09:54:25Z        1318         771          547        0.5(0.49)      1(16)             0             0        18458         27200            1         769         385
2011-09-05T09:54:45Z        1318         761          557        0.5(0.49)      0(16)             0             0        19350         27200            1         759         380
2011-09-05T09:55:05Z        1318         751          567        0.5(0.49)      0(16)             0             0        20337         27200            1         749         375
2011-09-05T09:55:25Z        1318         742          576       0.45(0.49)      0(15)             0             0        15653         30848            1         740         371
2011-09-05T09:55:45Z        1318         732          586        0.5(0.49)      0(15)             0             0        16625         30848            1         730         366
2011-09-05T09:56:05Z        1318         722          596        0.5(0.49)      0(15)             0             0        18826         30848            1         720         361
2011-09-05T09:56:25Z        1318         712          606        0.5(0.49)      0(15)             0             0        15802         27136            1         710         356
2011-09-05T09:56:45Z        1318         702          616        0.5(0.49)      0(14)             0             0        16904         27136            1         700         351
2011-09-05T09:57:05Z        1318         692          626        0.5(0.49)      0(14)             0             0        17872         27136            1         690         346
2011-09-05T09:57:25Z        1318         682          636        0.5(0.49)      0(14)             0             0        18806         27136            1         680         341
2011-09-05T09:57:45Z        1446         800          646        0.5(0.49)      4(14)             0             0        17180         30208            1         798         400
2011-09-05T09:58:05Z        1446         790          656        0.5(0.49)     13(14)             0             0        18056         30208            1         788         395
2011-09-05T09:58:25Z        1446         780          666        0.5(0.49)     14(14)             0             0        19050         30208            1         778         390
2011-09-05T09:58:45Z        1446         770          676        0.5(0.49)     14(14)             0             0        19939         30208            1         768         385
2011-09-05T09:59:05Z        1446         760          686        0.5(0.49)     13(14)             0             0        15565         26944            1         758         380
2011-09-05T09:59:25Z        1446         750          696        0.5(0.49)     13(14)             0             0        16445         26944            1         748         375
2011-09-05T09:59:45Z        1494         788          706        0.5(0.49)     12(14)             0             0        18632         26944            1         786         394
2011-09-05T10:00:05Z        1494         778          716        0.5(0.49)     11(14)             0             0        19594         26944            1         776         389
2011-09-05T10:00:25Z        1494         769          725       0.45(0.49)     11(14)             0             0        15162         29760            1         767         384
2011-09-05T10:00:45Z        1600         865          735        0.5(0.49)      6(14)             0             0        18315         29760            1         863         432
2011-09-05T10:01:05Z        1600         855          745        0.5(0.49)      8(14)             0             0        19301         29760            1         853         427
2011-09-05T10:01:25Z        1600         845          755        0.5(0.49)      5(13)             0             0        20204         29760            1         843         422
2011-09-05T10:01:45Z        1600         835          765        0.5(0.49)      8(13)             0             0        16608         26816            1         833         417
2011-09-05T10:02:05Z        1600         825          775        0.5(0.49)      4(13)             0             0        17940         26816            1         823         412
2011-09-05T10:02:25Z        1644         859          785        0.5(0.49)      7(13)             0             0        19984         26816            1         857         429
2011-09-05T10:02:45Z        1644         849          795        0.5(0.49)     15(13)             0             0        15848         29184            1         847         424
2011-09-05T10:03:05Z        1644         839          805        0.5(0.49)     14(13)             0             0        16761         29184            1         837         419
2011-09-05T10:03:25Z        1724         909          815        0.5(0.49)     13(13)             0             0        19453         29184            1         907         454
2011-09-05T10:03:45Z        1724         899          825        0.5(0.49)     14(13)             0             0        15337         26688            1         897         449
2011-09-05T10:04:05Z        1724         890          834       0.45(0.49)     12(13)             0             0        16136         26688            1         888         445
2011-09-05T10:04:25Z        1724         880          844        0.5(0.49)     13(13)             0             0        17099         26688            1         878         440
2011-09-05T10:04:45Z        1766         912          854        0.5(0.49)     27(13)             0             0        19049         26688            1         910         456
2011-09-05T10:05:05Z        1766         902          864        0.5(0.49)     14(13)             0             0        17371         28800            1         900         451
2011-09-05T10:05:25Z        1868         994          874        0.5(0.49)     13(13)             0             0        16632         28352            1         992         497
2011-09-05T10:05:45Z        1868         984          884        0.5(0.49)     14(13)             0             0        18189         27840            1         982         492
2011-09-05T10:06:05Z        1868         974          894        0.5(0.49)     15(13)             0             0        18592         26496            1         972         487
2011-09-05T10:06:25Z        1868         964          904        0.5(0.49)     14(13)             0             0        19475         26496            1         962         482
2011-09-05T10:06:45Z        1868         954          914        0.5(0.49)     13(13)             0             0        15526         27648            1         952         477
2011-09-05T10:07:05Z        1868         945          923       0.45(0.49)     61(14)             0             0        16366         27648            1         943         472
2011-09-05T10:07:25Z        1911         978          933        0.5(0.49)     37(14)             0             0        15644         26112            1         976         489
2011-09-05T10:07:45Z        1911         968          943        0.5(0.49)     11(14)             0             0        16559         26112            1         966         484
2011-09-05T10:08:05Z        1911         958          953        0.5(0.49)      0(14)             0             0        17528         26112            1         956         479
